rank	score	disease_name	disease_identifier
1184	0.5599	Neurodevelopmental disorder with or without early-onset generalized epilepsy	OMIM:619157
1184	0.5599	?Deafness, cataract, impaired intellectual development, and polyneuropathy	OMIM:619354
1187	0.5598	Intellectual developmental disorder, autosomal dominant 55, with seizures	OMIM:617831
1187	0.5598	17q11 microdeletion syndrome	ORPHA:97685
1189	0.5597	Autosomal recessive cutis laxa type 1	ORPHA:90349
1189	0.5597	Autosomal recessive cutis laxa type 1	ORPHA:90349
1189	0.5597	Autosomal recessive cutis laxa type 1	ORPHA:90349
1192	0.5596	Neurodevelopmental disorder with language delay and behavioral abnormalities, with or without seizures	OMIM:620292
1193	0.5595	Multiple congenital anomalies-hypotonia-seizures syndrome 1	OMIM:614080
1193	0.5595	Neurodevelopmental disorder with behavioral abnormalities, absent speech, and hypotonia	OMIM:618718
1193	0.5595	Intellectual developmental disorder, X-linked syndromic, Billuart type	OMIM:300486
1193	0.5595	Galloway-Mowat syndrome 3	OMIM:617729
1197	0.5594	Microcephaly, short stature, and impaired glucose metabolism 1	OMIM:616033
1198	0.5593	Brachydactyly, type B1	OMIM:113000
1198	0.5593	Developmental and epileptic encephalopathy 27	OMIM:616139
1198	0.5593	Oculoskeletodental syndrome	OMIM:618440
1201	0.5592	Farber disease	ORPHA:333
1201	0.5592	Chopra-Amiel-Gordon syndrome	OMIM:619504
1203	0.5591	HNF1B-related autosomal dominant tubulointerstitial kidney disease	ORPHA:93111
1204	0.559	Familial infantile myoclonic epilepsy	ORPHA:352582
1204	0.559	Familial infantile myoclonic epilepsy	ORPHA:352582
1204	0.559	Hajdu-Cheney syndrome	OMIM:102500
1207	0.5589	Developmental and epileptic encephalopathy 42	OMIM:617106
1208	0.5588	Cornelia de Lange syndrome 2	OMIM:300590
1208	0.5588	Nestor-Guillermo progeria syndrome	OMIM:614008
1210	0.5587	Neurodegeneration, childhood-onset, hypotonia, respiratory insufficiency and brain imaging abnormalities	OMIM:619173
1211	0.5585	Trigonocephaly 1	OMIM:190440
1211	0.5585	Developmental and epileptic encephalopathy 19	OMIM:615744
1211	0.5585	Microcephaly 2, primary, autosomal recessive, with or without cortical malformations	OMIM:604317
1214	0.5583	CAPOS syndrome	OMIM:601338
1214	0.5583	Mandibuloacral dysplasia with type B lipodystrophy	OMIM:608612
1216	0.5582	Encephalocraniocutaneous lipomatosis	ORPHA:2396
1216	0.5582	Encephalocraniocutaneous lipomatosis	ORPHA:2396
1216	0.5582	Asparagine synthetase deficiency	OMIM:615574
1216	0.5582	CLCN4-related X-linked intellectual disability syndrome	ORPHA:485350
1220	0.5579	Microcephaly, short stature, and impaired glucose metabolism 2	OMIM:616817
1221	0.5576	Lissencephaly 9 with complex brainstem malformation	OMIM:618325
1222	0.5575	Intellectual developmental disorder, autosomal recessive 65	OMIM:618109
1223	0.5574	Ehlers-Danlos syndrome, dermatosparaxis type	OMIM:225410
1224	0.5573	Developmental and epileptic encephalopathy 60	OMIM:617929
1225	0.5568	Dihydropyrimidine dehydrogenase deficiency	ORPHA:1675
1225	0.5568	Intellectual developmental disorder, autosomal dominant 54	OMIM:617799
1227	0.5567	Myoclonic epilepsy, infantile, familial	OMIM:605021
1227	0.5567	Mitochondrial complex I deficiency, nuclear type 1	OMIM:252010
1227	0.5567	Liberfarb syndrome	OMIM:618889
1227	0.5567	Intellectual developmental disorder, autosomal recessive 57	OMIM:617188
1231	0.5566	Pallister-Hall syndrome	ORPHA:672
1231	0.5566	Blepharophimosis-intellectual disability syndrome, SBBYS type	ORPHA:3047
1233	0.5564	Developmental and epileptic encephalopathy 33	OMIM:616409
1233	0.5564	Hypogonadotropic hypogonadism 3 with or without anosmia	OMIM:244200
1233	0.5564	Developmental and epileptic encephalopathy 51	OMIM:617339
1233	0.5564	Intellectual developmental disorder, X-linked syndromic, Snyder-Robinson type	OMIM:309583
1237	0.5561	Generalized epilepsy with febrile seizures plus, type 9	OMIM:616172
1237	0.5561	GAPO syndrome	ORPHA:2067
1237	0.5561	ALG1-CDG	ORPHA:79327
1240	0.556	Developmental and epileptic encephalopathy 56	OMIM:617665
1241	0.5557	Developmental and epileptic encephalopathy 103	OMIM:619913
1241	0.5557	Rajab interstitial lung disease with brain calcifications 1	OMIM:613658
1243	0.5555	Developmental and epileptic encephalopathy 34	OMIM:616645
1244	0.5552	Succinic semialdehyde dehydrogenase deficiency	OMIM:271980
1244	0.5552	Arthrogryposis, distal, type 2A (Freeman-Sheldon)	OMIM:193700
1246	0.5551	Developmental and epileptic encephalopathy 74	OMIM:618396
1247	0.5547	Developmental and epileptic encephalopathy 2	OMIM:300672
1247	0.5547	Classic galactosemia	ORPHA:79239
1247	0.5547	Congenital muscular dystrophy with intellectual disability and severe epilepsy	ORPHA:329178
1250	0.5546	Optic nerve hypoplasia and abnormalities of the central nervous system	OMIM:206900
1250	0.5546	Ceroid lipofuscinosis, neuronal, 10	OMIM:610127
1252	0.5545	Neurodevelopmental disorder with language impairment and behavioral abnormalities	OMIM:618917
1252	0.5545	Seizures, scoliosis, and macrocephaly syndrome	OMIM:616682
1252	0.5545	Seizures-scoliosis-macrocephaly syndrome	ORPHA:466926
1252	0.5545	Developmental and epileptic encephalopathy 98	OMIM:619605
1256	0.5543	Kohlschutter-Tonz syndrome	OMIM:226750
1257	0.5542	Intellectual developmental disorder, autosomal dominant 48	OMIM:617751
1257	0.5542	Full schwannomatosis	ORPHA:93921
1257	0.5542	Fraser syndrome 1	OMIM:219000
1257	0.5542	Full schwannomatosis	ORPHA:93921
1257	0.5542	Full schwannomatosis	ORPHA:93921
1257	0.5542	Full schwannomatosis	ORPHA:93921
1263	0.554	Simpson-Golabi-Behmel syndrome, type 1	OMIM:312870
1264	0.5537	Mannosidosis, alpha-, types I and II	OMIM:248500
1264	0.5537	PMM2-CDG	ORPHA:79318
1264	0.5537	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
1264	0.5537	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
1264	0.5537	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
1264	0.5537	Prader-Willi syndrome due to maternal uniparental disomy of chromosome 15	ORPHA:98754
1270	0.5534	Neurodevelopmental disorder with brain anomalies, seizures, and scoliosis	OMIM:618590
1270	0.5534	Cohen-Gibson syndrome	OMIM:617561
1270	0.5534	Bartter syndrome, type 1	OMIM:601678
1270	0.5534	Neurodevelopmental disorder with poor growth, large ears, and dysmorphic facies	OMIM:620194
1274	0.5533	Bartter syndrome, type 2	OMIM:241200
1274	0.5533	Osteogenesis imperfecta, type XI	OMIM:610968
1276	0.5532	Developmental and epileptic encephalopathy 26	OMIM:616056
1277	0.5531	Developmental and epileptic encephalopathy 52	OMIM:617350
1277	0.5531	Infantile cerebellar-retinal degeneration	OMIM:614559
1279	0.5527	Pitt-Hopkins like syndrome 1	OMIM:610042
1279	0.5527	Mandibulofacial dysostosis-microcephaly syndrome	ORPHA:79113
1279	0.5527	Cerebellar dysfunction with variable cognitive and behavioral abnormalities	OMIM:614756
1282	0.5526	?Halperin-Birk syndrome	OMIM:618651
1283	0.5524	Developmental delay, impaired speech, and behavioral abnormalities, with or without seizures	OMIM:619964
1284	0.5523	Intellectual developmental disorder, autosomal dominant 6, with or without seizures	OMIM:613970
1284	0.5523	Propionicacidemia	OMIM:606054
1284	0.5523	Propionicacidemia	OMIM:606054
1284	0.5523	Congenital disorder of glycosylation, type IIk	OMIM:614727
1284	0.5523	Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects	OMIM:245600
1289	0.552	Temple-Baraitser syndrome	ORPHA:420561
1290	0.5518	Schwannomatosis, vestibular	OMIM:101000
1291	0.5517	Developmental and epileptic encephalopathy 31B, autosomal recessive	OMIM:620352
1292	0.5514	15q13.3 microdeletion syndrome	ORPHA:199318
1292	0.5514	Neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive	OMIM:617820
1292	0.5514	Macrocephaly, dysmorphic facies, and psychomotor retardation	OMIM:617011
1292	0.5514	Waisman syndrome	OMIM:311510
1292	0.5514	2p21 microdeletion syndrome	ORPHA:163693
1292	0.5514	Schaaf-Yang syndrome	OMIM:615547
1292	0.5514	Intellectual disability-autism-speech apraxia-craniofacial dysmorphism syndrome	ORPHA:529965
1292	0.5514	Pilarowski-Bjornsson syndrome	OMIM:617682
1292	0.5514	Temtamy syndrome	OMIM:218340
1292	0.5514	2p21 microdeletion syndrome	ORPHA:163693
1292	0.5514	Sialuria	OMIM:269921
1292	0.5514	Developmental delay with variable intellectual disability and dysmorphic facies	OMIM:620098
1292	0.5514	Neurodevelopmental disorder with spasticity, cataracts, and cerebellar hypoplasia	OMIM:619286
1292	0.5514	Intellectual developmental disorder with macrocephaly, seizures, and speech delay	OMIM:618158
1292	0.5514	Pyruvate dehydrogenase E1-alpha deficiency	OMIM:312170
1292	0.5514	Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1	OMIM:603387
1292	0.5514	2p21 microdeletion syndrome	ORPHA:163693
1292	0.5514	2p21 microdeletion syndrome	ORPHA:163693
1292	0.5514	Intellectual developmental disorder, autosomal dominant 63, with macrocephaly	OMIM:618825
1311	0.5512	Oculodentodigital dysplasia, autosomal recessive	OMIM:257850
1311	0.5512	Epilepsy, familial focal, with variable foci 4	OMIM:617935
1313	0.5511	Osteosclerotic metaphyseal dysplasia	OMIM:615198
1314	0.5509	Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
1314	0.5509	Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
1314	0.5509	Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
1314	0.5509	Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
1314	0.5509	Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
1314	0.5509	Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
1314	0.5509	Combined pituitary hormone deficiencies, genetic forms	ORPHA:95494
1321	0.5507	Developmental and epileptic encephalopathy 23	OMIM:615859
1322	0.5506	Spondylometaphyseal dysplasia, Megarbane-Dagher-Melike type	OMIM:613320
1323	0.5504	Ritscher-Schinzel syndrome 3	OMIM:619135
1324	0.5502	X-linked intellectual disability, Najm type	ORPHA:163937
1325	0.5499	LEOPARD syndrome 3	OMIM:613707
1325	0.5499	Intellectual disability-hypotonic facies syndrome, X-linked	OMIM:309580
1327	0.5497	Developmental and epileptic encephalopathy 67	OMIM:618141
1328	0.5496	Borjeson-Forssman-Lehmann syndrome	ORPHA:127
1328	0.5496	SATB2-associated syndrome due to a pathogenic variant	ORPHA:576283
1330	0.5495	Snijders Blok-Campeau syndrome	OMIM:618205
1331	0.5494	Alacrimia-choreoathetosis-liver dysfunction syndrome	ORPHA:404454
1332	0.5489	Osteoglophonic dysplasia	OMIM:166250
1332	0.5489	Developmental and epileptic encephalopathy 11	OMIM:613721
1334	0.5488	KCNQ2-related epileptic encephalopathy	ORPHA:439218
1334	0.5488	Osteogenesis imperfecta, type XII	OMIM:613849
1336	0.5484	Nicolaides-Baraitser syndrome	ORPHA:3051
1337	0.5483	Intellectual disability-seizures-abnormal gait-facial dysmorphism syndrome	ORPHA:513456
1338	0.548	Diencephalic-mesencephalic junction dysplasia syndrome 1	OMIM:251280
1339	0.5478	Developmental and epileptic encephalopathy 43	OMIM:617113
1340	0.5476	Ehlers-Danlos syndrome, musculocontractural type 2	OMIM:615539
1340	0.5476	Autosomal recessive multiple pterygium syndrome	ORPHA:2990
1340	0.5476	Autosomal recessive multiple pterygium syndrome	ORPHA:2990
1343	0.5474	MOGS-CDG	ORPHA:79330
1343	0.5474	3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form	ORPHA:79351
1345	0.5473	CNTNAP2-related developmental and epileptic encephalopathy	ORPHA:163681
1345	0.5473	Menkes disease	OMIM:309400
1345	0.5473	Intellectual disability-cataracts-calcified pinnae-myopathy syndrome	ORPHA:3042
1345	0.5473	Global developmental delay-neuro-ophthalmological abnormalities-seizures-intellectual disability syndrome	ORPHA:488613
1345	0.5473	?Mitochondrial DNA depletion syndrome 19	OMIM:618972
1350	0.5472	Peters plus syndrome	ORPHA:709
1351	0.5471	Developmental and epileptic encephalopathy 83	OMIM:618744
1352	0.5468	Infantile-onset multisystem neurologic, endocrine, and pancreatic disease 2	OMIM:619418
1353	0.5464	Neurodevelopmental disorder with hypotonia, impaired speech, and behavioral abnormalities	OMIM:619854
1353	0.5464	Neurodevelopmental disorder with hypotonia, dysmorphic facies, and skin abnormalities	OMIM:620191
1355	0.5461	Autosomal dominant hyper-IgE syndrome	ORPHA:2314
1355	0.5461	Autosomal dominant hyper-IgE syndrome	ORPHA:2314
1357	0.5459	Intellectual developmental disorder, autosomal dominant 46	OMIM:617601
1357	0.5459	Osteoporosis, childhood- or juvenile-onset, with developmental delay	OMIM:619884
1359	0.5458	Osteogenesis imperfecta, type IV	OMIM:166220
1359	0.5458	Osteogenesis imperfecta, type IV	OMIM:166220
1361	0.5457	Autosomal dominant deafness-onychodystrophy syndrome	ORPHA:79499
1361	0.5457	Severe Canavan disease	ORPHA:314911
1361	0.5457	Spondyloepimetaphyseal dysplasia, Faden-Alkuraya type	OMIM:616723
1364	0.5455	Developmental and epileptic encephalopathy 78	OMIM:618557
1365	0.5454	Glycerol kinase deficiency	OMIM:307030
1366	0.5452	Agenesis of corpus callosum, cardiac, ocular, and genital syndrome	OMIM:618929
1367	0.5451	Bilateral frontoparietal polymicrogyria	ORPHA:101070
1367	0.5451	Bilateral frontoparietal polymicrogyria	ORPHA:101070
1369	0.5448	Pituitary hormone deficiency, combined or isolated, 1	OMIM:613038
1369	0.5448	Spinal muscular atrophy-progressive myoclonic epilepsy syndrome	ORPHA:2590
1371	0.5447	Neurodevelopmental disorder with hypotonia, neonatal respiratory insufficiency, and thermodysregulation	OMIM:618797
1371	0.5447	Fumarase deficiency	OMIM:606812
1371	0.5447	Holoprosencephaly 14	OMIM:619895
1374	0.5446	Familial or sporadic hemiplegic migraine	ORPHA:569
1374	0.5446	Familial or sporadic hemiplegic migraine	ORPHA:569
1374	0.5446	Familial or sporadic hemiplegic migraine	ORPHA:569
1374	0.5446	Familial or sporadic hemiplegic migraine	ORPHA:569
1374	0.5446	Neurodevelopmental disorder with microcephaly, epilepsy, and hypomyelination	OMIM:618367
1379	0.5444	Epilepsy, early-onset, 1, vitamin B6-dependent	OMIM:617290
1379	0.5444	Congenital disorder of glycosylation, type Ii	OMIM:607906
1381	0.5441	Genitopatellar syndrome	OMIM:606170
1381	0.5441	17p11.2 microduplication syndrome	ORPHA:1713
1381	0.5441	Anophthalmia/microphthalmia-esophageal atresia syndrome	ORPHA:77298
1381	0.5441	Intellectual developmental disorder, autosomal dominant 70	OMIM:620157
1381	0.5441	?Cerebrooculofacioskeletal syndrome 2	OMIM:610756
1381	0.5441	Multiple sulfatase deficiency	OMIM:272200
1381	0.5441	CHOPS syndrome	OMIM:616368
1381	0.5441	Charcot-Marie-Tooth disease, axonal, type 2Z	OMIM:616688
1381	0.5441	Epidermolysis bullosa simplex 2D, generalized, intermediate or severe, autosomal recessive	OMIM:619599
1381	0.5441	3MC syndrome 3	OMIM:248340
1381	0.5441	Fanconi anemia, complementation group E	OMIM:600901
1381	0.5441	Mitochondrial DNA depletion syndrome 9 (encephalomyopathic type with methylmalonic aciduria)	OMIM:245400
1381	0.5441	Warsaw breakage syndrome	OMIM:613398
1381	0.5441	Auriculocondylar syndrome	ORPHA:137888
1381	0.5441	Ferguson-Bonni neurodevelopmental syndrome	OMIM:619699
1381	0.5441	Coenzyme Q10 deficiency, primary, 8	OMIM:616733
1381	0.5441	Auriculocondylar syndrome	ORPHA:137888
1381	0.5441	Pontocerebellar hypoplasia, type 1C	OMIM:616081
1381	0.5441	Auriculocondylar syndrome	ORPHA:137888
1381	0.5441	?Deafness, X-linked 7	OMIM:301018
1381	0.5441	Bardet-Biedl syndrome 19	OMIM:615996
1381	0.5441	Cleft palate, proliferative retinopathy, and developmental delay	OMIM:619074
1381	0.5441	Congenital anomalies of kidney and urinary tract syndrome with or without hearing loss, abnormal ears, or developmental delay	OMIM:617641
1381	0.5441	PCNA-related progressive neurodegenerative photosensitivity syndrome	ORPHA:438134
1381	0.5441	Lymphatic malformation 6	OMIM:616843
1381	0.5441	?Neurodevelopmental disorder with microcephaly, hypotonia, and absent language	OMIM:620038
1381	0.5441	Bardet-Biedl syndrome 16	OMIM:615993
1381	0.5441	Galloway-Mowat syndrome 5	OMIM:617731
1381	0.5441	Ablepharon macrostomia syndrome	ORPHA:920
1381	0.5441	Neurodevelopmental disorder with absent speech and movement and behavioral abnormalities	OMIM:620270
1381	0.5441	Arthrogryposis, renal dysfunction, and cholestasis 1	OMIM:208085
1381	0.5441	SIMHA syndrome	OMIM:619557
1381	0.5441	Proximal myopathy with extrapyramidal signs	ORPHA:401768
1381	0.5441	THOC6-related developmental delay-microcephaly-facial dysmorphism syndrome	ORPHA:363444
1381	0.5441	Transketolase deficiency	ORPHA:488618
1416	0.5439	Thrombosis, hyperhomocysteinemic	OMIM:236200
1416	0.5439	Neurodevelopmental disorder with coarse facies and mild distal skeletal abnormalities	OMIM:618505
1416	0.5439	Neurodevelopmental disorder with microcephaly, cerebral atrophy, and visual impairment	OMIM:620066
1419	0.5438	Feingold syndrome 1	OMIM:164280
1420	0.5436	Osteogenesis imperfecta, type XXII	OMIM:619795
1420	0.5436	Osteogenesis imperfecta, type XIII	OMIM:614856
1420	0.5436	Geleophysic dysplasia 1	OMIM:231050
1423	0.5434	Developmental and epileptic encephalopathy 15	OMIM:615006
1423	0.5434	Hypomagnesemia, seizures, and impaired intellectual development 2	OMIM:618314
1423	0.5434	Intellectual developmental disorder, autosomal recessive 75, with neuropsychiatric features and variant lissencephaly	OMIM:619827
1426	0.5432	Guanidinoacetate methyltransferase deficiency	ORPHA:382
1427	0.543	Paget disease of bone 5, juvenile-onset	OMIM:239000
1428	0.5427	Osteogenesis imperfecta, type XX	OMIM:618644
1428	0.5427	Intellectual developmental disorder, X-linked syndromic, with pigmentary mosaicism and coarse facies	OMIM:301066
1430	0.5425	Mitochondrial short-chain enoyl-CoA hydratase 1 deficiency	OMIM:616277
1431	0.5423	Aicardi-Goutieres syndrome 7	OMIM:615846
1431	0.5423	Developmental and epileptic encephalopathy 110	OMIM:620149
1433	0.5421	Filippi syndrome	ORPHA:3255
1433	0.5421	?Orofaciodigital syndrome XVII	OMIM:617926
1435	0.542	Mullegama-Klein-Martinez syndrome	OMIM:301022
1436	0.5419	Lissencephaly due to TUBA1A mutation	ORPHA:171680
1437	0.5418	GM1-gangliosidosis, type I	OMIM:230500
1438	0.5416	Neurodevelopmental disorder with seizures and brain abnormalities	OMIM:619517
1439	0.5415	Epilepsy, pyridoxine-dependent	OMIM:266100
1439	0.5415	3-methylglutaconic aciduria, type VIIA, autosomal dominant	OMIM:619835
1441	0.5411	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type)	OMIM:614458
1442	0.541	Craniodiaphyseal dysplasia, autosomal dominant	OMIM:122860
1443	0.5409	Achondrogenesis type 2	ORPHA:93296
1443	0.5409	Hyperphosphatasia with impaired intellectual development syndrome 4	OMIM:615716
1443	0.5409	ALG2-CDG	ORPHA:79326
1443	0.5409	Mitochondrial complex V (ATP synthase) deficiency, nuclear type 7	OMIM:620359
1447	0.5407	Developmental and epileptic encephalopathy 18	OMIM:615476
1447	0.5407	Hyperphosphatasia with impaired intellectual development syndrome 6	OMIM:616809
1449	0.5405	Harel-Yoon syndrome	OMIM:617183
1450	0.5404	Progressive spondyloepimetaphyseal dysplasia-short stature-short fourth metatarsals-intellectual disability syndrome	ORPHA:457395
1450	0.5404	DK1-CDG	ORPHA:91131
1452	0.5403	Generalized epilepsy-paroxysmal dyskinesia syndrome	ORPHA:79137
1452	0.5403	Congenital disorder of glycosylation with defective fucosylation 1	OMIM:618005
1452	0.5403	Neurodevelopmental disorder with microcephaly, cataracts, and renal abnormalities	OMIM:617913
1455	0.54	Leukodystrophy, hypomyelinating, 18	OMIM:618404
1455	0.54	Leukodystrophy and acquired microcephaly with or without dystonia	OMIM:616763
1455	0.54	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3	OMIM:253280
1455	0.54	Leukodystrophy, hypomyelinating, 25	OMIM:620243
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Cornelia de Lange syndrome	ORPHA:199
1459	0.5397	Microphthalmia, syndromic 1	OMIM:309800
1459	0.5397	Severe intellectual disability-progressive spastic diplegia syndrome	ORPHA:404473
1459	0.5397	Autosomal recessive ataxia due to ubiquinone deficiency	ORPHA:139485
1459	0.5397	Transient neonatal diabetes mellitus	ORPHA:99886
1459	0.5397	Transient neonatal diabetes mellitus	ORPHA:99886
1459	0.5397	Cornelia de Lange syndrome	ORPHA:199
1459	0.5397	Cornelia de Lange syndrome	ORPHA:199
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Cowden syndrome 6	OMIM:615109
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Cowden syndrome 5	OMIM:615108
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Cornelia de Lange syndrome	ORPHA:199
1459	0.5397	X-linked cerebral adrenoleukodystrophy	ORPHA:139396
1459	0.5397	Adrenoleukodystrophy	OMIM:300100
1459	0.5397	Cornelia de Lange syndrome	ORPHA:199
1459	0.5397	Alopecia-intellectual disability syndrome	ORPHA:2850
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Galactosialidosis	OMIM:256540
1459	0.5397	Galactosialidosis	ORPHA:351
1459	0.5397	Alopecia-intellectual disability syndrome	ORPHA:2850
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Acquired partial lipodystrophy	ORPHA:79087
1459	0.5397	Alopecia-intellectual disability syndrome	ORPHA:2850
1459	0.5397	Beta-mannosidosis	ORPHA:118
1459	0.5397	Mannosidosis, beta	OMIM:248510
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Gyrate atrophy of choroid and retina	ORPHA:414
1459	0.5397	Transient neonatal diabetes mellitus	ORPHA:99886
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Coffin-Siris syndrome	ORPHA:1465
1459	0.5397	Legius syndrome	ORPHA:137605
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	Mitochondrial DNA depletion syndrome 2 (myopathic type)	OMIM:609560
1459	0.5397	Romano-Ward syndrome	ORPHA:101016
1459	0.5397	X-linked intellectual disability, Nascimento type	ORPHA:163956
1459	0.5397	Leukodystrophy, hypomyelinating, 14	OMIM:617899
1459	0.5397	Crigler-Najjar syndrome type 1	ORPHA:79234
1459	0.5397	Transient neonatal diabetes mellitus	ORPHA:99886
1459	0.5397	Cornelia de Lange syndrome	ORPHA:199
1521	0.5391	Cutis laxa, autosomal recessive, type IIB	OMIM:612940
1522	0.539	Mandibuloacral dysplasia with type A lipodystrophy	ORPHA:90153
1523	0.5388	Intellectual developmental disorder, autosomal dominant 45	OMIM:617600
1524	0.5387	Intellectual developmental disorder with language impairment and early-onset DOPA-responsive dystonia-parkinsonism	OMIM:619911
1524	0.5387	Intellectual developmental disorder with paroxysmal dyskinesia or seizures	OMIM:619150
1524	0.5387	Cortical dysplasia, complex, with other brain malformations 7	OMIM:610031
1527	0.5386	Chudley-McCullough syndrome	OMIM:604213
1528	0.5384	Developmental and epileptic encephalopathy 107	OMIM:620033
1528	0.5384	Intellectual developmental disorder, autosomal dominant 41	OMIM:616944
1530	0.5382	Osteoporosis-pseudoglioma syndrome	ORPHA:2788
1531	0.5379	Osteogenesis imperfecta, type I	OMIM:166200
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Alternating hemiplegia of childhood 2	OMIM:614820
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Neurodevelopmental disorder with or without seizures and gait abnormalities	OMIM:617864
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Neurodevelopmental disorder with progressive microcephaly, spasticity, and brain anomalies	OMIM:617527
1532	0.5378	Mitochondrial complex IV deficiency, nuclear type 5, (French-Canadian)	OMIM:220111
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Developmental and epileptic encephalopathy 58	OMIM:617830
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
1532	0.5378	Non-specific early-onset epileptic encephalopathy	ORPHA:442835
